album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Unorthodox Jukebox (Deluxe Edition),12,2OTH8T7TqMYt51baDvVEHQ,Young Girls - Demo,spotify:track:2OTH8T7TqMYt51baDvVEHQ,0.862,0.631,0.337,0.0,0.374,-8.624,0.0312,125.909,0.489,19
Unorthodox Jukebox (Deluxe Edition),13,1Yl0H4Mn4xDVAFSJ0IM5t3,Gorilla - Demo,spotify:track:1Yl0H4Mn4xDVAFSJ0IM5t3,0.752,0.631,0.435,0.0,0.0579,-6.561,0.0308,139.829,0.41,16
Unorthodox Jukebox (Deluxe Edition),14,03wqOqPhG7W8T83L7hOt4j,Moonshine - The Futuristics Remix,spotify:track:03wqOqPhG7W8T83L7hOt4j,0.000188,0.654,0.782,0.00225,0.175,-4.924,0.0561,108.954,0.594,17
Unorthodox Jukebox (Deluxe Edition),15,1uQ8qCbeeA39xd1gIcaxgM,Locked out of Heaven - Major Lazer Remix,spotify:track:1uQ8qCbeeA39xd1gIcaxgM,0.000509,0.686,0.827,1.24e-06,0.726,-4.063,0.0325,144.035,0.648,17
Unorthodox Jukebox,1,3G5iN5QBqMeXx3uZPy8tgB,Young Girls,spotify:track:3G5iN5QBqMeXx3uZPy8tgB,0.461,0.561,0.749,1.82e-06,0.205,-4.951,0.032,125.986,0.501,65
Unorthodox Jukebox,2,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867,80
Unorthodox Jukebox,3,2ih2U8ttFzCjnQ5njF3SrR,Gorilla,spotify:track:2ih2U8ttFzCjnQ5njF3SrR,0.445,0.717,0.544,5.16e-06,0.0973,-6.598,0.0371,139.959,0.641,66
Unorthodox Jukebox,4,55h7vJchibLdUkxdlX3fK7,Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,0.937,76
Unorthodox Jukebox,5,30raivfq7rSt5nKltiHfzG,Moonshine,spotify:track:30raivfq7rSt5nKltiHfzG,0.211,0.705,0.784,4.3e-06,0.0813,-4.351,0.0279,104.98,0.418,57
Unorthodox Jukebox,6,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387,82
