album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
x (Wembley Edition),22,1nVe4FCdf6dVBkzAF741IC,Small Bump - Live at Wembley Stadium,spotify:track:1nVe4FCdf6dVBkzAF741IC,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,43
x (Wembley Edition),23,1eIcWCHqpW2qlWwNOH3dL1,Lay It All on Me (feat. Ed Sheeran),spotify:track:1eIcWCHqpW2qlWwNOH3dL1,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,46
5,2,24ha18yq0t7XnZ9EgJ7HYb,So,spotify:track:24ha18yq0t7XnZ9EgJ7HYb,0.853,0.521,0.133,0.0,0.35,-10.599,0.0431,140.077,0.391,48
5,3,6ThrnYkLPlKar6dUIggR6Q,Be Like You,spotify:track:6ThrnYkLPlKar6dUIggR6Q,0.715,0.671,0.388,0.0,0.192,-6.516,0.0762,105.869,0.59,46
5,5,0Z0GZkW8QCohqGChLmWixd,Sunburn,spotify:track:0Z0GZkW8QCohqGChLmWixd,0.842,0.533,0.17,5.03e-06,0.113,-11.342,0.0668,116.852,0.33,46
5,1,4Ur8TgNrZyUuRBWjsQfgGe,Let It Out,spotify:track:4Ur8TgNrZyUuRBWjsQfgGe,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,0.619,45
5,2,5YS8NjfOuoFP1vi5wglycc,Homeless,spotify:track:5YS8NjfOuoFP1vi5wglycc,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,0.875,43
5,3,5DizlXTwJjjwxxqGNChcvO,Little Bird,spotify:track:5DizlXTwJjjwxxqGNChcvO,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,0.278,46
5,4,2Z7RLfJdXXkXUmvMJxkNJo,Sofa,spotify:track:2Z7RLfJdXXkXUmvMJxkNJo,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,0.52,43
5,6,7udHOd6OUjUIhSjpTo4cl4,Firefly,spotify:track:7udHOd6OUjUIhSjpTo4cl4,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,0.36,48
5,8,0dQ5jI1SGoAX2QT6N95tad,Firefly - Bravado Dubstep Remix,spotify:track:0dQ5jI1SGoAX2QT6N95tad,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,0.49,37
